 PWM (µs), RPM, Current (A), Voltage (V), Power (W), Force (Kg f), Efficiency (g/W)
1100,3465,24.30,16,388.8,-4.0695 ,10.4675 
1104,3468,24.3,16,388.8,-4.0506 ,10.4181 
1108,3449,23.78,16,380.5,-4.0234 ,10.5744 
1112,3421,23.25,16,372.0,-3.9644 ,10.6570 
1116,3410,22.64,16,362.2,-3.9009 ,10.7688 
1120,3395,22.07,16,353.1,-3.8691 ,10.9570 
1124,3374,21.46,16,343.4,-3.8238 ,11.1364 
1128,3356,20.98,16,335.7,-3.8011 ,11.3236 
1132,3323,20.44,16,327.0,-3.7512 ,11.4702 
1136,3307,19.9,16,318.4,-3.7149 ,11.6675 
1140,3282,19.32,16,309.1,-3.6560 ,11.8270 
1144,3248,18.74,16,299.8,-3.5879 ,11.9661 
1148,3223,18.11,16,289.8,-3.5199 ,12.1475 
1152,3207,17.53,16,280.5,-3.4518 ,12.3069 
1156,3177,17,16,272.0,-3.3974 ,12.4905 
1160,3153,16.45,16,263.2,-3.3112 ,12.5806 
1164,3111,15.96,16,255.4,-3.2523 ,12.7360 
1168,3086,15.48,16,247.7,-3.2024 ,12.9294 
1172,3061,14.98,16,239.7,-3.1071 ,12.9636 
1176,3050,14.43,16,230.9,-3.0391 ,13.1630 
1180,3003,14.04,16,224.6,-2.9937 ,13.3267 
1184,2988,13.55,16,216.8,-2.9393 ,13.5575 
1188,2952,13.1,16,209.6,-2.8622 ,13.6554 
1192,2918,12.74,16,203.8,-2.8213 ,13.8410 
1196,2896,12.3,16,196.8,-2.7714 ,14.0826 
1200,2865,11.93,16,190.9,-2.7079 ,14.1866 
1204,2845,11.59,16,185.4,-2.6580 ,14.3337 
1208,2821,11.2,16,179.2,-2.5809 ,14.4026 
1212,2792,10.8,16,172.8,-2.5492 ,14.7522 
1216,2759,10.5,16,168.0,-2.5084 ,14.9307 
1220,2736,10.27,16,164.3,-2.4539 ,14.9339 
1224,2712,9.9,16,158.4,-2.3814 ,15.0338 
1228,2681,9.5,16,152.0,-2.3541 ,15.4878 
1232,2661,9.2,16,147.2,-2.2770 ,15.4690 
1236,2629,8.9,16,142.4,-2.2362 ,15.7037 
1240,2599,8.6,16,137.6,-2.1954 ,15.9548 
1244,2576,8.2,16,131.2,-2.1183 ,16.1454 
1248,2548,7.9,16,126.4,-2.0820 ,16.4714 
1252,2517,7.57,16,121.1,-2.0230 ,16.7026 
1256,2482,7.19,16,115.0,-1.9777 ,17.1911 
1260,2440,6.89,16,110.2,-1.9414 ,17.6104 
1264,2419,6.53,16,104.5,-1.8597 ,17.7998 
1268,2369,6.29,16,100.6,-1.8144 ,18.0283 
1272,2345,6,16,96.0,-1.7645 ,18.3799 
1276,2306,5.75,16,92.0,-1.7010 ,18.4888 
1280,2278,5.5,16,88.0,-1.6692 ,18.9684 
1284,2248,5.3,16,84.8,-1.6103 ,18.9888 
1288,2222,5,16,80.0,-1.5558 ,19.4478 
1292,2199,4.8,16,76.8,-1.5150 ,19.7265 
1296,2157,4.6,16,73.6,-1.4878 ,20.2144 
1300,2140,4.4,16,70.4,-1.4379 ,20.4245 
1304,2106,4.2,16,67.2,-1.3971 ,20.7896 
1308,2081,3.98,16,63.7,-1.3472 ,21.1553 
1312,2040,3.7,16,59.2,-1.3018 ,21.9900 
1316,2001,3.58,16,57.3,-1.2564 ,21.9352 
1320,1968,3.39,16,54.2,-1.2020 ,22.1611 
1324,1936,3.2,16,51.2,-1.1612 ,22.6796 
1328,1903,3,16,48.0,-1.1204 ,23.3411 
1332,1870,2.84,16,45.4,-1.1022 ,24.2568 
1336,1840,2.7,16,43.2,-1.0523 ,24.3596 
1340,1807,2.4,16,38.4,-1.0206 ,26.5777 
1344,1773,2.3,16,36.8,-0.9798 ,26.6239 
1348,1738,2.1,16,33.6,-0.9435 ,28.0795 
1352,1705,2,16,32.0,-0.9026 ,28.2078 
1356,1667,1.9,16,30.4,-0.8709 ,28.6479 
1360,1630,1.7,16,27.2,-0.8210 ,30.1839 
1364,1589,1.6,16,25.6,-0.7847 ,30.6529 
1368,1554,1.5,16,24.0,-0.7439 ,30.9955 
1372,1519,1.4,16,22.4,-0.7167 ,31.9944 
1376,1482,1.3,16,20.8,-0.6804 ,32.7110 
1380,1448,1.2,16,19.2,-0.6486 ,33.7832 
1384,1410,1.1,16,17.6,-0.6169 ,35.0503 
1388,1362,1,16,16.0,-0.5806 ,36.2874 
1392,1325,0.9,16,14.4,-0.5398 ,37.4843 
1396,1285,0.8,16,12.8,-0.5126 ,40.0437 
1400,1246,0.7,16,11.2,-0.4808 ,42.9292 
1404,1199,0.66,16,10.6,-0.4445 ,42.0947 
1408,1153,0.56,16,9.0,-0.4173 ,46.5742 
1412,1113,0.5,16,8.0,-0.3856 ,48.1942 
1416,1064,0.4,16,6.4,-0.3538 ,55.2815 
1420,1016,0.4,16,6.4,-0.3221 ,50.3204 
1424,970,0.37,16,5.9,-0.2948 ,49.8032 
1428,916,0.3,16,4.8,-0.2585 ,53.8641 
1432,869,0.2,16,3.2,-0.2359 ,73.7087 
1436,810,0.2,16,3.2,-0.2087 ,65.2039 
1440,758,0.2,16,3.2,-0.1814 ,56.6990 
1444,697,0.1,16,1.6,-0.1497 ,93.5534 
1448,641,0.1,16,1.6,-0.1270 ,79.3786 
1452,578,0.1,16,1.6,-0.1043 ,65.2039 
1456,513,0.05,16,0.8,-0.0862 ,107.7281 
1460,450,0.05,16,0.8,-0.0680 ,85.0485 
1464,388,0.05,16,0.8,-0.0499 ,62.3689 
1468,317,0.05,16,0.8,-0.0363 ,45.3592 
1472,0,0,16,0.0,0.0000 ,0.0000 
1476,0,0,16,0.0,0.0000 ,0.0000 
1480,0,0,16,0.0,0.0000 ,0.0000 
1484,0,0,16,0.0,0.0000 ,0.0000 
1488,0,0,16,0.0,0.0000 ,0.0000 
1492,0,0,16,0.0,0.0000 ,0.0000 
1496,0,0,16,0.0,0.0000 ,0.0000 
1500,0,0,16,0.0,0.0000 ,0.0000 
1504,0,0,16,0.0,0.0000 ,0.0000 
1508,0,0,16,0.0,0.0000 ,0.0000 
1512,0,0,16,0.0,0.0000 ,0.0000 
1516,0,0,16,0.0,0.0000 ,0.0000 
1520,0,0,16,0.0,0.0000 ,0.0000 
1524,0,0,16,0.0,0.0000 ,0.0000 
1528,0,0,16,0.0,0.0000 ,0.0000 
1532,308,0.05,16,0.8,0.0408 ,51.0291 
1536,375,0.05,16,0.8,0.0544 ,68.0388 
1540,441,0.05,16,0.8,0.0771 ,96.3883 
1544,508,0.05,16,0.8,0.0998 ,124.7378 
1548,573,0.1,16,1.6,0.1270 ,79.3786 
1552,630,0.1,16,1.6,0.1542 ,96.3883 
1556,688,0.1,16,1.6,0.1814 ,113.3980 
1560,749,0.2,16,3.2,0.2177 ,68.0388 
1564,804,0.2,16,3.2,0.2495 ,77.9611 
1568,859,0.2,16,3.2,0.2903 ,90.7184 
1572,906,0.3,16,4.8,0.3221 ,67.0938 
1576,962,0.4,16,6.4,0.3583 ,55.9903 
1580,1007,0.4,16,6.4,0.3992 ,62.3689 
1584,1057,0.5,16,8.0,0.4354 ,54.4310 
1588,1104,0.5,16,8.0,0.4717 ,58.9670 
1592,1148,0.6,16,9.6,0.5126 ,53.3916 
1596,1195,0.7,16,11.2,0.5579 ,49.8141 
1600,1237,0.8,16,12.8,0.6033 ,47.1310 
1604,1279,0.8,16,12.8,0.6396 ,49.9660 
1608,1319,0.9,16,14.4,0.6804 ,47.2492 
1612,1359,1,16,16.0,0.7212 ,45.0757 
1616,1409,1.1,16,17.6,0.7756 ,44.0706 
1620,1444,1.2,16,19.2,0.8165 ,42.5243 
1624,1480,1.3,16,20.8,0.8709 ,41.8700 
1628,1516,1.45,16,23.2,0.9072 ,39.1028 
1632,1549,1.5,16,24.0,0.9480 ,39.5003 
1636,1583,1.6,16,25.6,0.9934 ,38.8034 
1640,1629,1.8,16,28.8,1.0342 ,35.9094 
1644,1668,2,16,32.0,1.0977 ,34.3029 
1648,1699,2.1,16,33.6,1.1431 ,34.0194 
1652,1740,2.2,16,35.2,1.1839 ,33.6328 
1656,1766,2.4,16,38.4,1.2383 ,32.2476 
1660,1802,2.6,16,41.6,1.2791 ,30.7483 
1664,1835,2.8,16,44.8,1.3290 ,29.6657 
1668,1865,2.9,16,46.4,1.3880 ,29.9136 
1672,1901,3.1,16,49.6,1.4379 ,28.9897 
1676,1930,3.3,16,52.8,1.4832 ,28.0918 
1680,1961,3.5,16,56.0,1.5377 ,27.4585 
1684,1994,3.7,16,59.2,1.5876 ,26.8171 
1688,2031,3.9,16,62.4,1.6511 ,26.4595 
1692,2071,4.1,16,65.6,1.6919 ,25.7911 
1696,2106,4.3,16,68.8,1.7599 ,25.5805 
1700,2129,4.58,16,73.3,1.8234 ,24.8832 
1704,2160,4.7,16,75.2,1.8779 ,24.9717 
1708,2190,5,16,80.0,1.9323 ,24.1538 
1712,2219,5.2,16,83.2,1.9913 ,23.9335 
1716,2244,5.42,16,86.7,2.0457 ,23.5897 
1720,2266,5.69,16,91.0,2.1228 ,23.3173 
1724,2305,5.9,16,94.4,2.1772 ,23.0640 
1728,2342,6.19,16,99.0,2.2181 ,22.3956 
1732,2392,6.4,16,102.4,2.2770 ,22.2366 
1736,2416,6.7,16,107.2,2.3814 ,22.2142 
1740,2446,7,16,112.0,2.4313 ,21.7076 
1744,2475,7.4,16,118.4,2.5174 ,21.2621 
1748,2498,7.7,16,123.2,2.5764 ,20.9124 
1752,2538,8.04,16,128.6,2.6535 ,20.6274 
1756,2584,8.4,16,134.4,2.7306 ,20.3171 
1760,2609,8.7,16,139.2,2.7578 ,19.8121 
1764,2639,9.03,16,144.5,2.8395 ,19.6531 
1768,2663,9.34,16,149.4,2.8894 ,19.3347 
1772,2688,9.69,16,155.0,2.9756 ,19.1922 
1776,2711,10.01,16,160.2,3.0527 ,19.0602 
1780,2735,10.4,16,166.4,3.1071 ,18.6725 
1784,2766,10.68,16,170.9,3.1706 ,18.5546 
1788,2809,10.9,16,174.4,3.2160 ,18.4402 
1792,2822,11.3,16,180.8,3.3021 ,18.2641 
1796,2854,11.64,16,186.2,3.3747 ,18.1203 
1800,2888,11.93,16,190.9,3.4201 ,17.9175 
1804,2903,12.38,16,198.1,3.5108 ,17.7242 
1808,2934,12.79,16,204.6,3.6061 ,17.6215 
1812,2973,13.14,16,210.2,3.6832 ,17.5189 
1816,3002,13.54,16,216.6,3.7376 ,17.2526 
1820,3042,13.99,16,223.8,3.8192 ,17.0624 
1824,3065,14.46,16,231.4,3.8873 ,16.8019 
1828,3108,14.86,16,237.8,3.9553 ,16.6358 
1832,3125,15.4,16,246.4,4.0596 ,16.4758 
1836,3153,15.86,16,253.8,4.1458 ,16.3376 
1840,3180,16.41,16,262.6,4.2547 ,16.2047 
1844,3204,16.97,16,271.5,4.3046 ,15.8537 
1848,3242,17.42,16,278.7,4.3817 ,15.7208 
1852,3260,18,16,288.0,4.5087 ,15.6552 
1856,3299,18.5,16,296.0,4.5268 ,15.2934 
1860,3308,19.13,16,306.1,4.6493 ,15.1899 
1864,3351,19.59,16,313.4,4.7083 ,15.0213 
1868,3379,20.15,16,322.4,4.7854 ,14.8430 
1872,3406,20.67,16,330.7,4.8353 ,14.6205 
1876,3428,21.13,16,338.1,4.9305 ,14.5840 
1880,3438,21.8,16,348.8,5.0122 ,14.3698 
1884,3455,22.38,16,358.1,5.0757 ,14.1748 
1888,3494,22.81,16,365.0,5.1437 ,14.0940 
1892,3516,23.28,16,372.5,5.1755 ,13.8947 
1896,3527,23.9,16,382.4,5.2208 ,13.6528 
1900,3533,23.83,16,381.3,5.2450 ,13.7563 
